isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,ilustracja boskiej komedii dantego : piekło : pieśń xix : wersy 1-30,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,2x24,4x2,3 cm.",Piekło,,,,"Na odwrocie adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,5x24,4x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxi : wersy 1-51,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,5x2,3 cm.",Piekło,,,,"Data wg adnot. na rew.: ""Sudół 15/II 1940, 28/[IV] 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxxiv : wersy 10-69,"Mrożewski, Stefan (1894-1975)",,,1940,1 matryca graficzna,"31,3x24,4x2,3 cm.",Diabeł,,,,"Na rew. wyryty tekst w jęz. polskim, podpisany: ""StefMrożewski Sudół 11/8 1940 r."". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,4x24,4x2,3 cm.",Diabeł,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,4x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""11/II 1940 Sudół"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,8x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,8x2,3 cm.",Piekło,,,,"Na odwrocie adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,6x2,3 cm.",Centaury (postacie mitologiczne),,,,"Data wg adnot. ołówkiem na rew.: ""Sudół 15/4 1940 / 22/4 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxvi : wersy 13-59,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,6x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""23/4 / 26/4 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : piekło : pieśń xxvii : wersy 4-29 pieśń xxvi : wersy 43-45,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,7x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""21/4 / 5/5 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,4x2,3 cm.",Diabeł,,,,"Data wg adnot. ołówkiem na rew.: ""10/5 1940 / 20/5 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,6x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""21.5 / 28/5 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xxx : wersy 22-57, 100-105 pieśń xxix : wersy 67-69","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,5x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na odwrocie: ""1/6 / 8/6 1940"". Na odwrocie adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,5x24,8x2,3 cm.",Piekło,,,,"Na odwrocie adnot. kredką i ołówkiem: ""8/6 / 15/6"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xxxii : wersy 16-54, 97-105 pieśń xxxiii : wersy 91-99","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,4x24,5x2,3 cm.",Piekło,,,,"Data wg adnot. na rew.: ""4/7 1940, 16/7 1940"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,4x24,5x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"dantes the divine comedy, purgatorio","Mrożewski, Stefan (1894-1975)",,,1969,1 matryca graficzna,"33,8x25,2x2,3 cm.",Poeci łacińscy,,,,Sygn. pod kompoz.
,"ilustracja boskiej komedii dantego : czyściec : pieśń : wersy 19-39, 100-102","Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,8x24,9x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""27/11 1940"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń ii : wersy 10-51,"Mrożewski, Stefan (1894-1975)",,,1940,1 matryca graficzna,"31,8x24,8x2,3 cm.",Anioły,,,,"Data wg adnot. ołówkiem na rew.: ""8/[...]/40 11/12 40"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń iii : wersy 46-102,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,7x24,7x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""1/12/1940 29/12/1940"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń iv : wersy 14-153,"Mrożewski, Stefan (1894-1975)",,,[1940],1 matryca graficzna,"31,2x24,9x2,3 cm.",Czyściec,,,,"Na rew. nieczytelne adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń v : wersy 8-26, 130-136","Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,8x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""31/12 1940 8/I 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,8x24,9x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""21/1/1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,9x24,9x2,3 cm.",Anioły,,,,"Data wg adnot. ołówkiem na rew.: ""[...]/II 1941 [...]/II 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108","Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,9x24,8x2,3 cm.",Anioły,,,,"Data wg adnot. ołówkiem na rew.: ""15/II 1941 16/7 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,9x24,9x2,3 cm.",Anioły,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139","Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,7x24,8x2,3 cm.",Anioły,,,,"Data wg adnot. ołówkiem na rew.: ""11/5 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,5x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""23/7 / 2/8 1941"". Na rew. adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107","Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,7x24,8x2,3 cm.",Anioły,,,,"Data wg adnot. kredką na rew.: ""2/8 1941 12/8 1941"". Na rew. adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,6x24,7x2,3 cm.",Anioły,,,,"Data wg adnot. ołówkiem na rew.: ""12/8 1941 22/8 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xiv : wersy 127-151,"Mrożewski, Stefan (1894-1975)",,,[1941],1 matryca graficzna,"31,8x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. ołówkiem na rew.: ""29/8 1941 17/9 1941"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xv : wersy 85-114,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,4x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. kredką na rew.: ""19/I 1942 23/I 1942"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xvi : wersy 5-6, 16-51","Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,9x24,8x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xvii : wersy 40-78,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,5x24,8x2,3 cm.",Anioły,,,,"Na rew. adnot. ołówkiem i kredką, m.in.: ""2/III 7/III"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xviii : wersy 76-129,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,7x24,5x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xix : wersy 1-33,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,7x24,4x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""20/III 42 16/III 42"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144","Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,7x24,9x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""10/5 1942 20/5 1942"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xxi : wersy 7-13,130-136","Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,6x24,8x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""21/5 1942 9/6 1942"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
